,단어,tf-idf,idf
8243,스파클링,213.4154253103142,5.963665971188759
6282,복분자,201.11878217270953,6.519227488796142
10040,와인,182.40007786814124,4.7985639412518175
6283,복분자주,85.36265965468118,7.455320847966477
10718,음료수,80.19370795318913,6.742915850802117
2925,달콤하다,56.568274452686396,5.70419049062716
10717,음료,56.06927001542187,6.870625375634031
1497,금방,41.6836629988743,6.864452516526949
167,간단하다,40.90261958806938,7.651065425092572
1743,깨다,39.331162802943325,6.506240293269331
4828,맥주,36.50382363823862,6.978396775876167
1856,꽂다,35.23661576716287,8.458622956830261
12688,진하다,32.993353176555026,6.018914445419238
2840,단맛,31.539331328930192,5.515780147196643
8006,순하다,27.639752015517153,6.527980279905736
7273,상큼,26.844859953100993,6.584492490169079
13406,취하,26.30131189280494,7.035149592468617
15240,혼술,26.28516607012214,7.263782636067598
10212,요술,25.466484706543103,6.961302342516867
15262,홀짝,24.19510657232136,7.3059434468918765
10372,우연히,19.799456674543272,7.197239245290986
947,곳,19.74197821795868,6.71074149377426
10674,은근,19.430307274703743,7.637642404760431
12779,짱,18.5182088380487,7.006370627918574
11437,잘못,18.26266975497076,7.804090612398095
9666,여성,18.18285848440481,7.417169082002101
7653,세지,18.026490466391255,8.08392950738885
200,갈다,17.755040156934754,6.889375924979406
2945,담,17.246360894801878,6.603272384820675
5436,뭐,17.034317682507194,6.58682077992867
2651,늘다,16.897123150640184,6.185248241936017
2000,나누다,16.785689099672823,6.964697931518005
7794,손님,16.09572272213104,6.934544893347318
7632,세번,15.973878895343304,7.171814146925176
5735,반주,15.616994197640903,7.250114997338934
13873,탄산음료,15.504819144285872,8.357818257708296
13915,탱,15.401773730541496,7.611325096443058
11644,저녁,15.224387950655819,7.02065658516605
2437,놀다,14.723769606219097,7.4333419412477015
9255,양도,14.371095128616695,7.637642404760431
3058,대신,14.143496950891782,7.477793703818535
1002,과실주,14.104057743543413,8.229437091060088
